,,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_OUT_VOLUME
BP9,WEEKDAY,0.0,95.6,303.6,386.7,280.3,212.2,204.6,203.6,206.7,272.2,225.5,164.2,158.9,189.5,179.0,116.1,78.2,52.0,30.9,9.0,0.0,43.5,121.7,369.0,193.0,172.0,156.7,124.4,166.4,196.5,151.5,144.4,160.0,220.0,306.2,274.2,172.8,141.0,120.8,57.1
BP9,WEEKENDS/HOLIDAY,0.0,40.7,70.2,123.1,197.1,235.9,279.1,310.0,251.0,190.1,161.3,135.2,127.7,134.3,124.9,113.3,73.9,41.4,30.4,9.0,0.0,39.6,50.0,142.7,198.1,208.1,221.0,179.6,179.7,155.4,137.8,126.4,138.0,138.6,148.9,141.8,114.2,106.3,104.7,53.1
CC1-NE6-NS24,WEEKDAY,28.2,21.0,183.7,547.0,1359.3,631.9,658.5,999.1,1492.7,2222.3,1806.4,1909.2,2189.8,3125.4,4244.1,3174.0,2753.1,3323.5,2391.3,830.8,17.9,22.9,477.9,1641.3,2794.6,2134.9,1667.1,1815.9,2511.7,2050.4,1780.5,1653.9,1673.2,2245.2,4088.0,2611.8,1283.1,739.7,521.4,226.0
CC1-NE6-NS24,WEEKENDS/HOLIDAY,33.2,16.7,153.3,211.2,354.9,524.7,796.8,1204.8,1690.9,2243.2,2479.8,2823.6,3120.1,3260.0,3235.2,2792.6,2505.3,2822.6,2056.4,842.6,34.3,5.3,253.0,610.1,1072.9,1715.8,2128.1,2469.4,2753.1,3023.2,2886.2,2755.2,2601.1,2510.2,2394.2,1890.1,1251.9,799.2,555.0,263.9
CC10,WEEKDAY,7.0,139.3,792.1,1451.0,1604.0,875.0999999999999,614.3,613.2,786.9,626.3,512.9,512.5,637.7,1671.8,3392.0,1321.9,612.2,514.0,310.3,117.7,61.099999999999994,20.8,331.0,1065.6,3204.9,1658.7,538.6,395.2,478.8,754.0,602.1,493.4,541.0,822.8,1448.2,1160.3,749.1,717.0,685.0,365.0
CC10,WEEKENDS/HOLIDAY,8.5,56.300000000000004,337.6,488.79999999999995,605.0999999999999,702.7,668.9,702.4000000000001,812.0999999999999,826.8,660.8,634.5999999999999,745.8,855.9000000000001,806.5,587.4,379.6,312.20000000000005,244.20000000000002,118.80000000000001,63.0,7.0,147.3,314.7,605.1,520.7,484.0,433.09999999999997,528.1999999999999,644.6,590.2,569.0999999999999,593.3,623.8,687.5,639.1,625.5,660.9,674.0,419.79999999999995
CC11,WEEKDAY,4.2,79.7,649.7,751.1,653.1,314.8,294.3,512.3,780.3,632.4,534.8,637.7,899.4,2975.4,5034.6,2319.8,1214.8,630.1,428.4,141.7,32.2,46.7,675.5,2835.2,5482.3,2756.8,877.5,556.5,566.9,778.8,600.5,420.2,400.0,573.1,933.2,996.5,440.9,390.9,410.2,169.9
CC11,WEEKENDS/HOLIDAY,4.2,42.4,395.7,436.2,399.3,284.2,316.1,380.6,553.1,681.6,558.2,584.1,650.9,911.9,829.4,657.8,587.6,347.7,212.0,89.7,38.4,9.4,338.7,818.4,793.3,629.8,516.4,419.4,415.3,453.4,446.8,373.1,409.4,496.9,528.4,627.6,445.1,429.1,390.1,197.3
CC12,WEEKDAY,5.3,25.4,309.3,797.2,916.3,529.8,342.7,323.5,439.1,685.6,374.8,332.1,412.0,468.5,459.3,247.5,146.8,110.0,72.7,32.6,35.1,5.0,381.7,910.3,369.8,184.7,144.8,154.3,211.1,287.9,241.6,221.6,234.7,347.0,592.4,549.8,360.0,314.2,260.3,115.9
CC12,WEEKENDS/HOLIDAY,2.7,13.7,78.9,150.7,230.6,278.0,298.4,311.1,392.7,418.3,261.1,266.7,248.3,326.8,304.4,201.3,124.6,139.9,67.4,38.4,54.2,0.7,36.2,148.2,171.1,151.3,184.0,170.3,214.1,253.4,262.6,243.0,232.8,252.6,288.4,297.6,263.6,248.4,223.2,112.8
