DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
WEEKENDS/HOLIDAY,PW1,888,836
WEEKENDS/HOLIDAY,PW3,585,546
WEEKENDS/HOLIDAY,PW4,416,397
WEEKENDS/HOLIDAY,PW5,2625,2682
WEEKENDS/HOLIDAY,PW6,876,707
WEEKENDS/HOLIDAY,PW7,1585,1748
WEEKENDS/HOLIDAY,SE1,3525,3456
WEEKENDS/HOLIDAY,SE2,4533,4274
WEEKENDS/HOLIDAY,SE3,2548,2381
WEEKENDS/HOLIDAY,SE4,3152,2965
WEEKENDS/HOLIDAY,SE5,2145,2097
WEEKENDS/HOLIDAY,SW1,1374,1371
WEEKENDS/HOLIDAY,SW2,3689,3405
WEEKENDS/HOLIDAY,SW3,1702,1622
WEEKENDS/HOLIDAY,SW4,773,755
WEEKENDS/HOLIDAY,SW5,6659,6331
WEEKENDS/HOLIDAY,SW6,2568,2385
WEEKENDS/HOLIDAY,SW7,2408,2170
WEEKENDS/HOLIDAY,SW8,1683,1576
