n1,n2,inverse,time,network,
PE2,PE3,T,0.5,SP,
PE3,PE4,T,0.5,SP,
PE4,PE5,T,0.7,SP,
PE5,PE6,T,0.5,SP,
PE6,PE7,T,0.6,SP,
PE7,PTC,T,0.9,SP,
PTC,PW1,T,0.6,SP,
PW1,PW3,T,1,SP,
PW3,PW4,T,0.6,SP,
PW4,PW5,T,0.5,SP,
PW5,PW6,T,0.4,SP,
PW6,PW7,T,0.4,SP,
PW7,PTC,T,1,SP,
TE1,TE2,T,1.4,TE,
TE2,TE3,T,1.4,TE,
TE3,TE4,T,4.4,TE,
TE4,TE5,T,2.6,TE,
TE5,TE6,T,1.7,TE,
TE6,TE7,T,1.1,TE,
TE7,TE8,T,1.4,TE,
TE8,TE9,T,2.2,TE,
TE9,TE11,T,3,TE,
TE11,TE12,T,1.7,TE,
TE12,TE13,T,0.9,TE,
TE13,TE14,T,1,TE,
TE14,TE15,T,1,TE,
TE15,TE16,T,0.7,TE,
TE16,TE17,T,1,TE,
TE17,TE18,T,0.6,TE,
TE18,TE19,T,0.8,TE,
TE19,TE20,T,0.7,TE,
TE20,TE22,T,1.7,TE,
