ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
BP13,EW7,0.0,16
BP13,EW8,1.0,278
BP13,EW9,0.0,146
BP13,NE1,1.0,453
BP13,NE10,1.0,69
BP13,NE12,0.0,215
BP13,NE13,0.0,23
BP13,NE14,0.0,108
BP13,NE15,0.0,23
BP13,NE16-STC,0.0,92
BP13,NE17-PTC,0.0,46
BP13,NE4,1.0,376
BP13,NE5,0.0,123
BP13,NE7,1.0,230
BP13,NE8,0.0,161
BP13,NE9,0.0,69
BP13,NS10,17.0,558
BP13,NS11,20.0,581
BP13,NS13,16.0,573
BP13,NS14,6.0,511
BP13,NS15,28.0,503
BP13,NS16,8.0,542
BP13,NS17,1.0,355
BP13,NS18,1.0,169
BP13,NS19,1.0,247
BP13,NS2,25.0,558
BP13,NS20,1.0,170
BP13,NS21,0.0,39
BP13,NS22,1.0,223
BP13,NS23,0.0,208
BP13,NS3,27.0,566
BP13,NS4,193.0,1170
BP13,NS5,35.0,589
BP13,NS7,10.0,503
BP13,NS8,6.0,457
BP13,NS9,38.0,558
BP13,PE4,0.0,23
BP13,SW1,0.0,16
BP13,SW4,0.0,23
BP13,SW5,0.0,23
BP13,SW7,0.0,46
BP13,SW8,0.0,23
BP2,BP10,57.0,589
BP2,BP11,55.0,589
BP2,BP12,75.0,589
BP2,BP13,40.0,581
BP2,BP3,53.0,589
BP2,BP4,81.0,581
BP2,BP5,95.0,589
BP2,BP6,1510.0,589
BP2,BP7,42.0,589
BP2,BP8,109.0,589
BP2,BP9,93.0,589
BP2,CC1-NE6-NS24,2.0,363
BP2,CC10,2.0,369
BP2,CC11,5.0,340
BP2,CC12,1.0,139
BP2,CC14,1.0,185
BP2,CC16,2.0,192
BP2,CC17,1.0,138
BP2,CC19,2.0,484
BP2,CC2,1.0,185
BP2,CC20,0.0,161
BP2,CC21,3.0,403
BP2,CC23,18.0,432
BP2,CC24,28.0,495
BP2,CC25,5.0,301
BP2,CC26,5.0,247
BP2,CC27,6.0,333
BP2,CC28,1.0,269
BP2,CC3,2.0,285
BP2,CC4-DT15,6.0,346
BP2,CC5,1.0,207
BP2,CC6,1.0,270
BP2,CC7,1.0,131
BP2,CC8,0.0,115
BP2,CE1,3.0,486
BP2,CG1,3.0,346
BP2,CG2,5.0,479
BP2,DT1,0.0,123
BP2,DT10,2.0,254
BP2,DT11,17.0,487
BP2,DT13,6.0,416
BP2,DT17,8.0,269
BP2,DT18,6.0,353
BP2,DT2,1.0,200
BP2,DT20,1.0,261
BP2,DT21,0.0,92
BP2,DT22,0.0,23
BP2,DT23,1.0,161
BP2,DT24,0.0,8
BP2,DT25,1.0,146
BP2,DT27,3.0,231
BP2,DT28,2.0,246
BP2,DT29,1.0,115
BP2,DT3,1.0,292
BP2,DT30,0.0,92
BP2,DT31,1.0,253
BP2,DT32,1.0,323
BP2,DT33,1.0,169
BP2,DT34,1.0,169
BP2,DT5,7.0,447
BP2,DT6,2.0,277
BP2,DT7,3.0,238
BP2,DT8,4.0,223
BP2,EW1,2.0,378
BP2,EW10,1.0,316
BP2,EW11,4.0,410
BP2,EW12,10.0,888
BP2,EW13-NS25,12.0,526
BP2,EW14-NS26,25.0,494
