DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKENDS/HOLIDAY,CC27,1807.0,1886.0,8
WEEKENDS/HOLIDAY,CC28,3094.0,3011.0,8
WEEKENDS/HOLIDAY,CC3,12463.0,11029.0,8
WEEKENDS/HOLIDAY,CC4-DT15,15833.0,16171.0,8
WEEKENDS/HOLIDAY,CC5,5152.0,5116.0,8
WEEKENDS/HOLIDAY,CC6,16567.0,16835.0,8
WEEKENDS/HOLIDAY,CC7,6362.0,6516.0,8
WEEKENDS/HOLIDAY,CC8,6691.0,6478.0,8
WEEKENDS/HOLIDAY,CE1,47353.0,45657.0,8
WEEKENDS/HOLIDAY,CG1,11010.0,11716.0,8
WEEKENDS/HOLIDAY,CG2,30041.0,28792.0,8
WEEKENDS/HOLIDAY,DT1,25487.0,24647.0,8
WEEKENDS/HOLIDAY,DT10,3521.0,2896.0,8
WEEKENDS/HOLIDAY,DT11,27670.0,27211.0,8
WEEKENDS/HOLIDAY,DT13,8966.0,9524.0,8
WEEKENDS/HOLIDAY,DT17,4919.0,4806.0,8
WEEKENDS/HOLIDAY,DT18,4532.0,4913.0,8
WEEKENDS/HOLIDAY,DT2,1710.0,1330.0,8
WEEKENDS/HOLIDAY,DT20,5857.0,6837.0,8
WEEKENDS/HOLIDAY,DT21,6641.0,6367.0,8
WEEKENDS/HOLIDAY,DT22,9114.0,9745.0,8
WEEKENDS/HOLIDAY,DT23,2453.0,2583.0,8
WEEKENDS/HOLIDAY,DT24,3835.0,3865.0,8
WEEKENDS/HOLIDAY,DT25,2901.0,2901.0,8
WEEKENDS/HOLIDAY,DT27,5482.0,5297.0,8
WEEKENDS/HOLIDAY,DT28,8153.0,7778.0,8
WEEKENDS/HOLIDAY,DT29,5169.0,4777.0,8
WEEKENDS/HOLIDAY,DT3,6239.0,5462.0,8
WEEKENDS/HOLIDAY,DT30,5816.0,5544.0,8
WEEKENDS/HOLIDAY,DT31,5648.0,5997.0,8
WEEKENDS/HOLIDAY,DT32,17030.0,17409.0,8
WEEKENDS/HOLIDAY,DT33,12806.0,12056.0,8
WEEKENDS/HOLIDAY,DT34,3030.0,2949.0,8
WEEKENDS/HOLIDAY,DT5,12574.0,12502.0,8
WEEKENDS/HOLIDAY,DT6,4384.0,4192.0,8
WEEKENDS/HOLIDAY,DT7,2785.0,3074.0,8
WEEKENDS/HOLIDAY,DT8,2724.0,2753.0,8
WEEKENDS/HOLIDAY,EW1,26512.0,26062.0,8
WEEKENDS/HOLIDAY,EW10,14257.0,14631.0,8
WEEKENDS/HOLIDAY,EW11,17874.0,18480.0,8
WEEKENDS/HOLIDAY,EW12,62123.0,64495.0,8
WEEKENDS/HOLIDAY,EW13-NS25,56867.0,56397.0,8
WEEKENDS/HOLIDAY,EW14-NS26,20869.0,20002.0,8
WEEKENDS/HOLIDAY,EW15,16878.0,17831.0,8
WEEKENDS/HOLIDAY,EW16,16639.0,16576.0,8
WEEKENDS/HOLIDAY,EW17,22420.0,23720.0,8
WEEKENDS/HOLIDAY,EW18,12869.0,13291.0,8
WEEKENDS/HOLIDAY,EW19,11082.0,11079.0,8
WEEKENDS/HOLIDAY,EW2,30972.0,30762.0,8
WEEKENDS/HOLIDAY,EW20,12095.0,11836.0,8
WEEKENDS/HOLIDAY,EW21,16674.0,15908.0,8
WEEKENDS/HOLIDAY,EW22,5117.0,5554.0,8
WEEKENDS/HOLIDAY,EW23,37026.0,36889.0,8
WEEKENDS/HOLIDAY,EW24-NS1,72220.0,75109.0,8
WEEKENDS/HOLIDAY,EW25,8255.0,8195.0,8
WEEKENDS/HOLIDAY,EW26,27180.0,23501.0,8
WEEKENDS/HOLIDAY,EW27,44085.0,47918.0,8
WEEKENDS/HOLIDAY,EW28,23884.0,19121.0,8
WEEKENDS/HOLIDAY,EW29,11393.0,11752.0,8
WEEKENDS/HOLIDAY,EW3,14791.0,14940.0,8
WEEKENDS/HOLIDAY,EW30,2253.0,1792.0,8
WEEKENDS/HOLIDAY,EW31,2824.0,2191.0,8
WEEKENDS/HOLIDAY,EW32,2626.0,2896.0,8
WEEKENDS/HOLIDAY,EW33,3172.0,3503.0,8
WEEKENDS/HOLIDAY,EW4,13316.0,12319.0,8
WEEKENDS/HOLIDAY,EW5,31269.0,30754.0,8
WEEKENDS/HOLIDAY,EW6,9964.0,10659.0,8
WEEKENDS/HOLIDAY,EW7,12982.0,14231.0,8
WEEKENDS/HOLIDAY,EW8,39955.0,41063.0,8
WEEKENDS/HOLIDAY,EW9,23411.0,23429.0,8
WEEKENDS/HOLIDAY,NE1,52507.0,52523.0,8
WEEKENDS/HOLIDAY,NE10,11561.0,11388.0,8
WEEKENDS/HOLIDAY,NE11,3677.0,3417.0,8
WEEKENDS/HOLIDAY,NE12,51040.0,54874.0,8
WEEKENDS/HOLIDAY,NE13,20140.0,19408.0,8
WEEKENDS/HOLIDAY,NE14,26931.0,25056.0,8
WEEKENDS/HOLIDAY,NE15,13351.0,12634.0,8
WEEKENDS/HOLIDAY,NE16-STC,37358.0,37627.0,8
WEEKENDS/HOLIDAY,NE17-PTC,36256.0,34733.0,8
WEEKENDS/HOLIDAY,NE4,56493.0,57201.0,8
WEEKENDS/HOLIDAY,NE5,12625.0,14679.0,8
WEEKENDS/HOLIDAY,NE7,31939.0,35170.0,8
WEEKENDS/HOLIDAY,NE8,35924.0,39109.0,8
WEEKENDS/HOLIDAY,NE9,17922.0,15830.0,8
WEEKENDS/HOLIDAY,NS10,36727.0,32105.0,8
WEEKENDS/HOLIDAY,NS11,36525.0,35769.0,8
WEEKENDS/HOLIDAY,NS13,47906.0,49483.0,8
WEEKENDS/HOLIDAY,NS14,26036.0,23023.0,8
WEEKENDS/HOLIDAY,NS15,15203.0,13837.0,8
WEEKENDS/HOLIDAY,NS16,43161.0,45785.0,8
WEEKENDS/HOLIDAY,NS17,38613.0,37446.0,8
WEEKENDS/HOLIDAY,NS18,12101.0,11183.0,8
WEEKENDS/HOLIDAY,NS19,34441.0,35727.0,8
WEEKENDS/HOLIDAY,NS2,22803.0,23580.0,8
WEEKENDS/HOLIDAY,NS20,29519.0,29317.0,8
WEEKENDS/HOLIDAY,NS21,27262.0,29922.0,8
WEEKENDS/HOLIDAY,NS22,71062.0,75267.0,8
WEEKENDS/HOLIDAY,NS23,35049.0,36939.0,8
WEEKENDS/HOLIDAY,NS27,2025.0,3531.0,8
WEEKENDS/HOLIDAY,NS28,2533.0,2238.0,8
WEEKENDS/HOLIDAY,NS3,15977.0,15177.0,8
WEEKENDS/HOLIDAY,NS4,32075.0,33623.0,8
WEEKENDS/HOLIDAY,NS5,24587.0,24048.0,8
WEEKENDS/HOLIDAY,NS7,22230.0,20247.0,8
WEEKENDS/HOLIDAY,NS8,19887.0,16053.0,8
WEEKENDS/HOLIDAY,NS9,39659.0,44974.0,8
WEEKENDS/HOLIDAY,PE1,3107.0,2996.0,8
WEEKENDS/HOLIDAY,PE2,4472.0,4200.0,8
WEEKENDS/HOLIDAY,PE3,5065.0,4986.0,8
WEEKENDS/HOLIDAY,PE4,1410.0,1419.0,8
WEEKENDS/HOLIDAY,PE5,4272.0,3907.0,8
WEEKENDS/HOLIDAY,PE6,5460.0,5227.0,8
WEEKENDS/HOLIDAY,PE7,3353.0,3031.0,8
WEEKENDS/HOLIDAY,PW1,1072.0,1048.0,8
WEEKENDS/HOLIDAY,PW3,699.0,689.0,8
WEEKENDS/HOLIDAY,PW4,498.0,467.0,8
WEEKENDS/HOLIDAY,PW5,2842.0,2736.0,8
WEEKENDS/HOLIDAY,PW6,919.0,776.0,8
WEEKENDS/HOLIDAY,PW7,1644.0,1819.0,8
WEEKENDS/HOLIDAY,SE1,3497.0,3352.0,8
WEEKENDS/HOLIDAY,SE2,4680.0,4337.0,8
WEEKENDS/HOLIDAY,SE3,2606.0,2403.0,8
WEEKENDS/HOLIDAY,SE4,3263.0,3042.0,8
WEEKENDS/HOLIDAY,SE5,2196.0,2082.0,8
WEEKENDS/HOLIDAY,SW1,1394.0,1354.0,8
WEEKENDS/HOLIDAY,SW2,3890.0,3589.0,8
WEEKENDS/HOLIDAY,SW3,1715.0,1627.0,8
WEEKENDS/HOLIDAY,SW4,1065.0,1097.0,8
WEEKENDS/HOLIDAY,SW5,6863.0,6459.0,8
WEEKENDS/HOLIDAY,SW6,2663.0,2486.0,8
WEEKENDS/HOLIDAY,SW7,2314.0,2087.0,8
WEEKENDS/HOLIDAY,SW8,1682.0,1608.0,8
