DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP12,EW31,5.0,23
WEEKDAY,BP12,EW32,1.0,23
WEEKDAY,BP12,EW33,3.0,23
WEEKDAY,BP12,NE1,1.0,23
WEEKDAY,BP12,NE4,2.0,23
WEEKDAY,BP12,NE7,1.0,23
WEEKDAY,BP12,NS10,28.0,23
WEEKDAY,BP12,NS11,39.0,23
WEEKDAY,BP12,NS13,26.0,23
WEEKDAY,BP12,NS14,9.0,23
WEEKDAY,BP12,NS15,46.0,23
WEEKDAY,BP12,NS16,14.0,23
WEEKDAY,BP12,NS17,1.0,23
WEEKDAY,BP12,NS18,1.0,23
WEEKDAY,BP12,NS2,39.0,23
WEEKDAY,BP12,NS20,2.0,23
WEEKDAY,BP12,NS3,35.0,23
WEEKDAY,BP12,NS4,273.0,23
WEEKDAY,BP12,NS5,62.0,23
WEEKDAY,BP12,NS7,24.0,23
WEEKDAY,BP12,NS8,27.0,23
WEEKDAY,BP12,NS9,65.0,23
WEEKDAY,BP13,BP10,122.0,23
WEEKDAY,BP13,BP11,97.0,23
WEEKDAY,BP13,BP12,84.0,23
WEEKDAY,BP13,BP2,50.0,23
WEEKDAY,BP13,BP3,50.0,23
WEEKDAY,BP13,BP4,56.0,23
WEEKDAY,BP13,BP5,32.0,23
WEEKDAY,BP13,BP6,611.0,23
WEEKDAY,BP13,BP7,13.0,23
WEEKDAY,BP13,BP8,56.0,23
WEEKDAY,BP13,BP9,150.0,23
WEEKDAY,BP13,DT11,2.0,23
WEEKDAY,BP13,DT18,2.0,23
WEEKDAY,BP13,DT6,1.0,23
WEEKDAY,BP13,DT8,2.0,23
WEEKDAY,BP13,EW14-NS26,1.0,23
WEEKDAY,BP13,EW15,1.0,23
WEEKDAY,BP13,EW16,1.0,23
WEEKDAY,BP13,EW17,6.0,23
WEEKDAY,BP13,EW18,5.0,23
WEEKDAY,BP13,EW19,6.0,23
WEEKDAY,BP13,EW20,4.0,23
WEEKDAY,BP13,EW21,2.0,23
WEEKDAY,BP13,EW22,34.0,23
WEEKDAY,BP13,EW23,36.0,23
WEEKDAY,BP13,EW24-NS1,208.0,23
WEEKDAY,BP13,EW26,4.0,23
WEEKDAY,BP13,EW27,33.0,23
WEEKDAY,BP13,EW28,7.0,23
WEEKDAY,BP13,EW29,22.0,23
WEEKDAY,BP13,EW30,3.0,23
WEEKDAY,BP13,EW31,5.0,23
WEEKDAY,BP13,EW32,4.0,23
WEEKDAY,BP13,NE10,1.0,23
WEEKDAY,BP13,NS10,15.0,23
WEEKDAY,BP13,NS11,20.0,23
WEEKDAY,BP13,NS13,13.0,23
WEEKDAY,BP13,NS14,3.0,23
WEEKDAY,BP13,NS15,37.0,23
WEEKDAY,BP13,NS16,3.0,23
WEEKDAY,BP13,NS18,1.0,23
WEEKDAY,BP13,NS2,26.0,23
WEEKDAY,BP13,NS3,24.0,23
WEEKDAY,BP13,NS4,190.0,23
WEEKDAY,BP13,NS5,31.0,23
WEEKDAY,BP13,NS7,6.0,23
WEEKDAY,BP13,NS8,4.0,23
WEEKDAY,BP13,NS9,42.0,23
WEEKDAY,BP2,BP10,58.0,23
WEEKDAY,BP2,BP11,60.0,23
WEEKDAY,BP2,BP12,84.0,23
WEEKDAY,BP2,BP13,39.0,23
WEEKDAY,BP2,BP3,55.0,23
WEEKDAY,BP2,BP4,96.0,23
WEEKDAY,BP2,BP5,98.0,23
WEEKDAY,BP2,BP6,1620.0,23
WEEKDAY,BP2,BP7,43.0,23
WEEKDAY,BP2,BP8,117.0,23
WEEKDAY,BP2,BP9,100.0,23
WEEKDAY,BP2,CC1-NE6-NS24,1.0,23
WEEKDAY,BP2,CC10,3.0,23
WEEKDAY,BP2,CC11,6.0,23
WEEKDAY,BP2,CC14,1.0,23
WEEKDAY,BP2,CC16,2.0,23
WEEKDAY,BP2,CC21,1.0,23
WEEKDAY,BP2,CC23,23.0,23
WEEKDAY,BP2,CC24,36.0,23
WEEKDAY,BP2,CC25,4.0,23
