,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,CC19,CC17,9.0,468.0,2981.0,4767.0,3107.0,1610.0,1229.0,1417.0,1873.0,1914.0,2071.0,2518.0,3418.0,7718.0,9191.0,4443.0,2806.0,2556.0,1755.0,490.0
WEEKDAY,CC19,CC20,12.0,2222.0,8967.0,15191.0,12381.0,6205.0,3495.0,3300.0,3624.0,3565.0,3450.0,3825.0,4582.0,8166.0,9906.0,5619.0,4153.0,4321.0,3249.0,973.0
WEEKDAY,CC19,DT10,,1411.0,6438.0,12868.0,13523.0,6610.0,4481.0,4384.0,4398.0,4128.0,4024.0,4352.0,5004.0,8744.0,9790.0,4824.0,2644.0,2232.0,1596.0,376.0
WEEKDAY,CC19,DT8,71.0,191.0,2122.0,3118.0,1865.0,1085.0,1019.0,1242.0,1526.0,1761.0,2034.0,2255.0,2821.0,6068.0,8915.0,5166.0,3526.0,3427.0,2485.0,951.0
WEEKDAY,CC2,CC3,,64.0,183.0,533.0,958.0,574.0,415.0,440.0,424.0,450.0,438.0,461.0,442.0,607.0,810.0,494.0,273.0,216.0,145.0,33.0
WEEKDAY,CC2,NS24,8.0,5.0,41.0,89.0,190.0,163.0,223.0,406.0,520.0,477.0,488.0,710.0,717.0,1174.0,1866.0,1091.0,831.0,923.0,799.0,308.0
WEEKDAY,CC20,CC19,8.0,1420.0,6083.0,9848.0,7503.0,4209.0,3346.0,3516.0,4166.0,3999.0,4019.0,4735.0,6295.0,13651.0,15731.0,7527.0,4559.0,3939.0,2651.0,698.0
WEEKDAY,CC20,CC21,11.0,2198.0,8616.0,15078.0,12393.0,6270.0,3520.0,3311.0,3604.0,3586.0,3478.0,3753.0,4525.0,8064.0,9728.0,5497.0,4072.0,4237.0,3187.0,950.0
WEEKDAY,CC21,CC20,9.0,1417.0,6048.0,9584.0,7191.0,4086.0,3270.0,3481.0,4167.0,3923.0,3880.0,4734.0,6286.0,13623.0,15658.0,7515.0,4560.0,3958.0,2664.0,705.0
WEEKDAY,CC21,EW21,12.0,2192.0,8571.0,14969.0,12492.0,6259.0,3468.0,3259.0,3652.0,3794.0,3480.0,3721.0,4455.0,7885.0,9424.0,5400.0,4081.0,4227.0,3226.0,985.0
WEEKDAY,CC23,CC24,,849.0,3175.0,7297.0,6229.0,3144.0,1661.0,1507.0,1518.0,1575.0,1154.0,947.0,890.0,1431.0,1526.0,752.0,431.0,334.0,176.0,45.0
WEEKDAY,CC23,EW21,4.0,63.0,416.0,816.0,914.0,653.0,770.0,1341.0,1939.0,1672.0,1516.0,2164.0,3147.0,7866.0,9779.0,5095.0,2828.0,2213.0,1414.0,405.0
WEEKDAY,CC24,CC23,3.0,64.0,447.0,818.0,1003.0,712.0,686.0,1068.0,1518.0,1326.0,1209.0,1600.0,2334.0,5373.0,6516.0,3420.0,2062.0,1723.0,1139.0,330.0
WEEKDAY,CC24,CC25,,575.0,1808.0,3439.0,3000.0,1191.0,714.0,787.0,876.0,790.0,668.0,702.0,837.0,1528.0,1793.0,831.0,475.0,379.0,192.0,50.0
WEEKDAY,CC25,CC24,5.0,79.0,598.0,1123.0,1255.0,734.0,451.0,485.0,655.0,723.0,595.0,688.0,951.0,2489.0,3360.0,1921.0,1111.0,911.0,778.0,244.0
WEEKDAY,CC25,CC26,,441.0,1365.0,2740.0,2650.0,1142.0,708.0,818.0,874.0,726.0,637.0,673.0,804.0,1595.0,1866.0,842.0,434.0,292.0,149.0,31.0
WEEKDAY,CC26,CC25,5.0,80.0,581.0,1103.0,1104.0,564.0,373.0,387.0,562.0,685.0,533.0,613.0,822.0,1986.0,2839.0,1656.0,1044.0,922.0,765.0,234.0
WEEKDAY,CC26,CC27,,244.0,773.0,2194.0,2319.0,1066.0,710.0,834.0,894.0,740.0,648.0,708.0,841.0,1838.0,2174.0,1057.0,491.0,308.0,183.0,45.0
WEEKDAY,CC27,CC26,5.0,191.0,842.0,1336.0,1289.0,597.0,373.0,388.0,555.0,695.0,545.0,603.0,770.0,1600.0,2330.0,1330.0,957.0,929.0,743.0,215.0
WEEKDAY,CC27,CC28,,181.0,529.0,1160.0,1212.0,782.0,650.0,877.0,1034.0,782.0,696.0,789.0,1011.0,2531.0,3548.0,1702.0,707.0,400.0,228.0,55.0
WEEKDAY,CC28,CC27,5.0,224.0,1039.0,2383.0,2532.0,976.0,438.0,417.0,566.0,825.0,592.0,568.0,666.0,1081.0,1438.0,917.0,795.0,828.0,685.0,206.0
WEEKDAY,CC28,NE1,,201.0,622.0,1312.0,1459.0,910.0,725.0,952.0,1083.0,821.0,731.0,808.0,1006.0,2535.0,3601.0,1714.0,696.0,378.0,211.0,47.0
WEEKDAY,CC3,CC2,9.0,10.0,59.0,192.0,268.0,170.0,210.0,324.0,394.0,408.0,419.0,470.0,525.0,780.0,1188.0,718.0,641.0,737.0,604.0,247.0
WEEKDAY,CC3,CC4,5.0,11.0,24.0,88.0,266.0,178.0,213.0,304.0,349.0,457.0,433.0,478.0,482.0,691.0,976.0,682.0,441.0,433.0,340.0,100.0
WEEKDAY,CC4,CC3,6.0,25.0,124.0,360.0,554.0,342.0,314.0,418.0,452.0,416.0,402.0,403.0,396.0,571.0,853.0,431.0,408.0,377.0,235.0,109.0
WEEKDAY,CC4,CC5,15.0,52.0,229.0,709.0,864.0,412.0,278.0,337.0,475.0,504.0,527.0,572.0,577.0,1087.0,1911.0,1084.0,646.0,571.0,400.0,158.0
WEEKDAY,CC4,CE1,5.0,496.0,1627.0,4676.0,8837.0,3867.0,1903.0,1742.0,1988.0,2716.0,1839.0,1466.0,1470.0,1881.0,2422.0,1754.0,1142.0,999.0,690.0,191.0
WEEKDAY,CC4,EW12,170.0,73.0,392.0,634.0,692.0,467.0,537.0,1016.0,1494.0,1342.0,1432.0,1897.0,2416.0,5440.0,9822.0,5465.0,4268.0,4061.0,3273.0,1855.0
WEEKDAY,CC5,CC4,,47.0,270.0,690.0,1406.0,771.0,433.0,478.0,527.0,545.0,421.0,381.0,400.0,819.0,1154.0,637.0,408.0,412.0,422.0,232.0
WEEKDAY,CC5,CC6,12.0,38.0,177.0,312.0,331.0,219.0,181.0,255.0,412.0,394.0,437.0,500.0,507.0,1033.0,1865.0,1012.0,560.0,500.0,357.0,143.0
WEEKDAY,CC6,CC5,,48.0,259.0,756.0,1505.0,738.0,381.0,388.0,418.0,472.0,334.0,300.0,312.0,480.0,653.0,407.0,283.0,289.0,319.0,194.0
WEEKDAY,CC6,CC7,13.0,20.0,125.0,248.0,238.0,145.0,137.0,201.0,325.0,378.0,344.0,404.0,495.0,891.0,1459.0,907.0,797.0,840.0,710.0,402.0
WEEKDAY,CC7,CC6,,79.0,353.0,913.0,1505.0,770.0,446.0,414.0,431.0,432.0,390.0,371.0,360.0,573.0,795.0,433.0,179.0,120.0,98.0,23.0
WEEKDAY,CC7,CC8,7.0,36.0,328.0,401.0,382.0,202.0,185.0,253.0,414.0,361.0,408.0,434.0,616.0,982.0,1457.0,878.0,703.0,747.0,683.0,388.0
WEEKDAY,CC8,CC7,1.0,97.0,537.0,1290.0,1447.0,717.0,426.0,376.0,391.0,484.0,457.0,444.0,435.0,632.0,902.0,490.0,242.0,189.0,117.0,35.0
WEEKDAY,CC8,EW8,3.0,68.0,627.0,887.0,933.0,453.0,380.0,436.0,583.0,608.0,836.0,870.0,924.0,1286.0,1723.0,1026.0,734.0,765.0,697.0,380.0
WEEKDAY,CE1,CC4,139.0,55.0,367.0,628.0,916.0,525.0,571.0,1186.0,1687.0,1334.0,1372.0,1706.0,2093.0,4302.0,7719.0,4416.0,3571.0,2942.0,2180.0,1498.0
WEEKDAY,CE1,DT17,47.0,200.0,869.0,3758.0,7661.0,2869.0,1062.0,1007.0,1181.0,1759.0,1096.0,993.0,1008.0,1273.0,1676.0,1059.0,1280.0,1182.0,788.0,388.0
WEEKDAY,CE1,NS27,,2.0,7.0,51.0,124.0,64.0,39.0,56.0,65.0,91.0,70.0,74.0,67.0,77.0,87.0,48.0,77.0,65.0,39.0,14.0
WEEKDAY,CG1,CG2,,320.0,1039.0,1408.0,1450.0,1058.0,1062.0,1097.0,1141.0,1124.0,992.0,881.0,923.0,1131.0,1298.0,1026.0,854.0,662.0,446.0,78.0
WEEKDAY,CG1,DT34,7.0,42.0,206.0,380.0,275.0,151.0,115.0,221.0,389.0,369.0,367.0,475.0,598.0,1256.0,2347.0,1519.0,1038.0,856.0,609.0,230.0
WEEKDAY,CG1,EW4,11.0,401.0,766.0,1485.0,1831.0,1078.0,857.0,946.0,1253.0,1235.0,1371.0,1722.0,1814.0,2819.0,3826.0,2265.0,1761.0,1597.0,1630.0,524.0
WEEKDAY,CG2,CG1,11.0,333.0,390.0,574.0,684.0,692.0,627.0,678.0,913.0,968.0,1101.0,1400.0,1304.0,1493.0,1597.0,1253.0,1247.0,1250.0,1497.0,498.0
WEEKDAY,DT1,DT2,,502.0,2919.0,6093.0,5828.0,2593.0,1456.0,1207.0,1075.0,1010.0,866.0,774.0,833.0,1167.0,1265.0,737.0,405.0,384.0,243.0,65.0
WEEKDAY,DT10,CC19,80.0,1112.0,4833.0,6775.0,4847.0,2831.0,2400.0,2614.0,3141.0,3397.0,3707.0,4170.0,5121.0,9920.0,13722.0,8161.0,6149.0,6336.0,4800.0,1686.0
WEEKDAY,DT10,DT11,,1401.0,6225.0,13009.0,14194.0,6955.0,4671.0,4526.0,4501.0,4300.0,4317.0,4522.0,5125.0,8906.0,10000.0,4943.0,2707.0,2292.0,1625.0,384.0
WEEKDAY,DT11,DT10,82.0,1136.0,5132.0,6949.0,4881.0,2848.0,2404.0,2643.0,3238.0,3399.0,3622.0,4169.0,5188.0,10094.0,14012.0,8348.0,6284.0,6454.0,4896.0,1726.0
WEEKDAY,DT11,NE7,,1412.0,6219.0,12634.0,15290.0,7859.0,5093.0,4796.0,4861.0,4613.0,4438.0,4497.0,5188.0,9128.0,10456.0,5356.0,2972.0,2553.0,1840.0,465.0
WEEKDAY,DT13,EW12,,1451.0,5729.0,11825.0,15102.0,7315.0,4656.0,4517.0,4933.0,4956.0,4678.0,4852.0,5476.0,8949.0,10422.0,5815.0,4070.0,4106.0,3067.0,789.0
WEEKDAY,DT13,NE7,125.0,1272.0,4862.0,7253.0,6386.0,4018.0,3355.0,3559.0,4154.0,4557.0,4383.0,4997.0,5917.0,11104.0,15869.0,9058.0,6727.0,6595.0,5225.0,2224.0
WEEKDAY,DT17,CE1,10.0,79.0,236.0,407.0,789.0,570.0,645.0,1196.0,1666.0,1261.0,1131.0,1151.0,1436.0,3454.0,6662.0,3737.0,1874.0,1049.0,627.0,223.0
WEEKDAY,DT17,DT18,49.0,31.0,144.0,429.0,886.0,631.0,630.0,1439.0,1880.0,1123.0,934.0,977.0,1068.0,1568.0,2560.0,1518.0,1448.0,1263.0,842.0,408.0
WEEKDAY,DT18,DT17,3.0,99.0,317.0,731.0,1730.0,1006.0,682.0,837.0,1322.0,2125.0,1092.0,848.0,872.0,1252.0,1868.0,1191.0,740.0,477.0,306.0,101.0
WEEKDAY,DT18,NE4,60.0,23.0,111.0,284.0,491.0,502.0,652.0,1495.0,2070.0,1306.0,1183.0,1307.0,1540.0,3363.0,6100.0,3255.0,2301.0,1824.0,1332.0,618.0
