DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,multiplier
WEEKDAY,BP11,NE10,0.0,21
WEEKDAY,BP11,NE11,0.0,21
WEEKDAY,BP11,NE12,0.0,21
WEEKDAY,BP11,NE14,0.0,21
WEEKDAY,BP11,NE15,0.0,21
WEEKDAY,BP11,NE16-STC,0.0,21
WEEKDAY,BP11,NE17-PTC,0.0,21
WEEKDAY,BP11,NE4,1.0,21
WEEKDAY,BP11,NE5,0.0,21
WEEKDAY,BP11,NE7,0.0,21
WEEKDAY,BP11,NE8,0.0,21
WEEKDAY,BP11,NE9,0.0,21
WEEKDAY,BP11,NS10,30.0,21
WEEKDAY,BP11,NS11,32.0,21
WEEKDAY,BP11,NS13,32.0,21
WEEKDAY,BP11,NS14,9.0,21
WEEKDAY,BP11,NS15,47.0,21
WEEKDAY,BP11,NS16,16.0,21
WEEKDAY,BP11,NS17,2.0,21
WEEKDAY,BP11,NS18,1.0,21
WEEKDAY,BP11,NS19,3.0,21
WEEKDAY,BP11,NS2,59.0,21
WEEKDAY,BP11,NS20,1.0,21
WEEKDAY,BP11,NS21,0.0,21
WEEKDAY,BP11,NS22,1.0,21
WEEKDAY,BP11,NS23,0.0,21
WEEKDAY,BP11,NS28,0.0,21
WEEKDAY,BP11,NS3,38.0,21
WEEKDAY,BP11,NS4,379.0,21
WEEKDAY,BP11,NS5,73.0,21
WEEKDAY,BP11,NS7,39.0,21
WEEKDAY,BP11,NS8,12.0,21
WEEKDAY,BP11,NS9,69.0,21
WEEKDAY,BP11,SW8,0.0,21
WEEKDAY,BP12,BP10,175.0,21
WEEKDAY,BP12,BP11,93.0,21
WEEKDAY,BP12,BP13,74.0,21
WEEKDAY,BP12,BP14,4.0,21
WEEKDAY,BP12,BP2,80.0,21
WEEKDAY,BP12,BP3,124.0,21
WEEKDAY,BP12,BP4,96.0,21
WEEKDAY,BP12,BP5,158.0,21
WEEKDAY,BP12,BP6,1831.0,21
WEEKDAY,BP12,BP7,55.0,21
WEEKDAY,BP12,BP8,243.0,21
WEEKDAY,BP12,BP9,234.0,21
WEEKDAY,BP12,CC1-NE6-NS24,0.0,21
WEEKDAY,BP12,CC11,0.0,21
WEEKDAY,BP12,CC16,0.0,21
WEEKDAY,BP12,CC17,0.0,21
WEEKDAY,BP12,CC19,0.0,21
WEEKDAY,BP12,CC2,0.0,21
WEEKDAY,BP12,CC20,0.0,21
WEEKDAY,BP12,CC23,2.0,21
WEEKDAY,BP12,CC24,3.0,21
WEEKDAY,BP12,CC25,0.0,21
WEEKDAY,BP12,CC26,0.0,21
WEEKDAY,BP12,CC27,0.0,21
WEEKDAY,BP12,CC28,0.0,21
WEEKDAY,BP12,CC3,0.0,21
WEEKDAY,BP12,CC4-DT15,0.0,21
WEEKDAY,BP12,CC5,0.0,21
WEEKDAY,BP12,CE1,0.0,21
WEEKDAY,BP12,CG1,0.0,21
WEEKDAY,BP12,CG2,0.0,21
WEEKDAY,BP12,DT1,0.0,21
WEEKDAY,BP12,DT10,0.0,21
WEEKDAY,BP12,DT11,1.0,21
WEEKDAY,BP12,DT13,0.0,21
WEEKDAY,BP12,DT17,0.0,21
WEEKDAY,BP12,DT18,0.0,21
WEEKDAY,BP12,DT2,0.0,21
WEEKDAY,BP12,DT21,0.0,21
WEEKDAY,BP12,DT27,0.0,21
WEEKDAY,BP12,DT28,0.0,21
WEEKDAY,BP12,DT3,0.0,21
