DAY_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,multiplier
WEEKENDS/HOLIDAY,CC17,1991.0,2006.0,11
WEEKENDS/HOLIDAY,CC19,7000.0,7734.0,11
WEEKENDS/HOLIDAY,CC2,3900.0,3954.0,11
WEEKENDS/HOLIDAY,CC20,3882.0,3924.0,11
WEEKENDS/HOLIDAY,CC21,6887.0,7240.0,11
WEEKENDS/HOLIDAY,CC23,3022.0,3007.0,11
WEEKENDS/HOLIDAY,CC24,5799.0,5844.0,11
WEEKENDS/HOLIDAY,CC25,4963.0,4575.0,11
WEEKENDS/HOLIDAY,CC26,2900.0,3030.0,11
WEEKENDS/HOLIDAY,CC27,1816.0,1907.0,11
WEEKENDS/HOLIDAY,CC28,2855.0,2737.0,11
WEEKENDS/HOLIDAY,CC3,8937.0,8069.0,11
WEEKENDS/HOLIDAY,CC4-DT15,13585.0,14444.0,11
WEEKENDS/HOLIDAY,CC5,4347.0,4376.0,11
WEEKENDS/HOLIDAY,CC6,10149.0,9652.0,11
WEEKENDS/HOLIDAY,CC7,5307.0,5808.0,11
WEEKENDS/HOLIDAY,CC8,5980.0,5773.0,11
WEEKENDS/HOLIDAY,CE1,41445.0,40217.0,11
WEEKENDS/HOLIDAY,CG1,13444.0,14015.0,11
WEEKENDS/HOLIDAY,CG2,31184.0,30122.0,11
WEEKENDS/HOLIDAY,DT1,23495.0,22851.0,11
WEEKENDS/HOLIDAY,DT10,3107.0,2577.0,11
WEEKENDS/HOLIDAY,DT11,24805.0,24590.0,11
WEEKENDS/HOLIDAY,DT13,7847.0,8303.0,11
WEEKENDS/HOLIDAY,DT17,4517.0,4394.0,11
WEEKENDS/HOLIDAY,DT18,4102.0,4517.0,11
WEEKENDS/HOLIDAY,DT2,1540.0,1245.0,11
WEEKENDS/HOLIDAY,DT20,5458.0,6374.0,11
WEEKENDS/HOLIDAY,DT21,5459.0,5232.0,11
WEEKENDS/HOLIDAY,DT22,8274.0,8957.0,11
WEEKENDS/HOLIDAY,DT23,2086.0,2198.0,11
WEEKENDS/HOLIDAY,DT24,3657.0,3641.0,11
WEEKENDS/HOLIDAY,DT25,2670.0,2700.0,11
WEEKENDS/HOLIDAY,DT27,5199.0,5064.0,11
WEEKENDS/HOLIDAY,DT28,7854.0,7499.0,11
WEEKENDS/HOLIDAY,DT29,4889.0,4514.0,11
WEEKENDS/HOLIDAY,DT3,5708.0,4952.0,11
WEEKENDS/HOLIDAY,DT30,5385.0,5097.0,11
WEEKENDS/HOLIDAY,DT31,5215.0,5534.0,11
WEEKENDS/HOLIDAY,DT32,16154.0,16715.0,11
WEEKENDS/HOLIDAY,DT33,12016.0,11413.0,11
WEEKENDS/HOLIDAY,DT34,2853.0,2764.0,11
WEEKENDS/HOLIDAY,DT5,11236.0,11160.0,11
WEEKENDS/HOLIDAY,DT6,3797.0,3605.0,11
WEEKENDS/HOLIDAY,DT7,2557.0,2839.0,11
WEEKENDS/HOLIDAY,DT8,2411.0,2407.0,11
WEEKENDS/HOLIDAY,EW1,24351.0,23736.0,11
WEEKENDS/HOLIDAY,EW10,13030.0,13374.0,11
WEEKENDS/HOLIDAY,EW11,15874.0,16227.0,11
WEEKENDS/HOLIDAY,EW12,54329.0,57372.0,11
WEEKENDS/HOLIDAY,EW13-NS25,45381.0,44732.0,11
WEEKENDS/HOLIDAY,EW14-NS26,16594.0,16345.0,11
WEEKENDS/HOLIDAY,EW15,15433.0,16440.0,11
WEEKENDS/HOLIDAY,EW16,15289.0,15171.0,11
WEEKENDS/HOLIDAY,EW17,20890.0,22008.0,11
WEEKENDS/HOLIDAY,EW18,11793.0,12146.0,11
WEEKENDS/HOLIDAY,EW19,10272.0,10167.0,11
WEEKENDS/HOLIDAY,EW2,28932.0,28751.0,11
WEEKENDS/HOLIDAY,EW20,11030.0,10764.0,11
WEEKENDS/HOLIDAY,EW21,14493.0,13805.0,11
WEEKENDS/HOLIDAY,EW22,4443.0,4853.0,11
WEEKENDS/HOLIDAY,EW23,34101.0,33675.0,11
WEEKENDS/HOLIDAY,EW24-NS1,68185.0,70997.0,11
WEEKENDS/HOLIDAY,EW25,8143.0,8167.0,11
WEEKENDS/HOLIDAY,EW26,25722.0,22469.0,11
WEEKENDS/HOLIDAY,EW27,42195.0,45599.0,11
WEEKENDS/HOLIDAY,EW28,22406.0,18343.0,11
WEEKENDS/HOLIDAY,EW29,10835.0,11173.0,11
WEEKENDS/HOLIDAY,EW3,13757.0,13804.0,11
WEEKENDS/HOLIDAY,EW30,2163.0,1728.0,11
WEEKENDS/HOLIDAY,EW31,2728.0,2102.0,11
WEEKENDS/HOLIDAY,EW32,2684.0,2925.0,11
WEEKENDS/HOLIDAY,EW33,3162.0,3532.0,11
WEEKENDS/HOLIDAY,EW4,12744.0,12119.0,11
WEEKENDS/HOLIDAY,EW5,29413.0,28703.0,11
WEEKENDS/HOLIDAY,EW6,8982.0,9433.0,11
WEEKENDS/HOLIDAY,EW7,12035.0,13017.0,11
WEEKENDS/HOLIDAY,EW8,38285.0,40074.0,11
WEEKENDS/HOLIDAY,EW9,22027.0,21766.0,11
WEEKENDS/HOLIDAY,NE1,50063.0,49294.0,11
WEEKENDS/HOLIDAY,NE10,10778.0,10550.0,11
WEEKENDS/HOLIDAY,NE11,3486.0,3302.0,11
WEEKENDS/HOLIDAY,NE12,48345.0,49887.0,11
WEEKENDS/HOLIDAY,NE13,18904.0,18538.0,11
WEEKENDS/HOLIDAY,NE14,25042.0,23694.0,11
WEEKENDS/HOLIDAY,NE15,12227.0,11810.0,11
WEEKENDS/HOLIDAY,NE16-STC,34342.0,35143.0,11
WEEKENDS/HOLIDAY,NE17-PTC,33664.0,33014.0,11
WEEKENDS/HOLIDAY,NE4,53075.0,53664.0,11
WEEKENDS/HOLIDAY,NE5,10980.0,12928.0,11
WEEKENDS/HOLIDAY,NE7,29412.0,32237.0,11
WEEKENDS/HOLIDAY,NE8,33351.0,35944.0,11
WEEKENDS/HOLIDAY,NE9,17143.0,15002.0,11
WEEKENDS/HOLIDAY,NS10,33155.0,29562.0,11
WEEKENDS/HOLIDAY,NS11,34245.0,33660.0,11
WEEKENDS/HOLIDAY,NS13,45250.0,46923.0,11
WEEKENDS/HOLIDAY,NS14,24272.0,21340.0,11
WEEKENDS/HOLIDAY,NS15,13548.0,12349.0,11
WEEKENDS/HOLIDAY,NS16,41000.0,43519.0,11
WEEKENDS/HOLIDAY,NS17,35228.0,33894.0,11
WEEKENDS/HOLIDAY,NS18,11512.0,10632.0,11
WEEKENDS/HOLIDAY,NS19,31434.0,32700.0,11
WEEKENDS/HOLIDAY,NS2,20974.0,21512.0,11
WEEKENDS/HOLIDAY,NS20,27293.0,26897.0,11
WEEKENDS/HOLIDAY,NS21,24428.0,26878.0,11
WEEKENDS/HOLIDAY,NS22,66872.0,70995.0,11
WEEKENDS/HOLIDAY,NS23,33268.0,34811.0,11
WEEKENDS/HOLIDAY,NS27,1881.0,3198.0,11
WEEKENDS/HOLIDAY,NS28,2256.0,2186.0,11
WEEKENDS/HOLIDAY,NS3,14860.0,14152.0,11
WEEKENDS/HOLIDAY,NS4,30319.0,31965.0,11
WEEKENDS/HOLIDAY,NS5,23325.0,22854.0,11
WEEKENDS/HOLIDAY,NS7,21789.0,19501.0,11
WEEKENDS/HOLIDAY,NS8,18597.0,15146.0,11
WEEKENDS/HOLIDAY,NS9,37326.0,41827.0,11
WEEKENDS/HOLIDAY,PE1,2843.0,2716.0,11
WEEKENDS/HOLIDAY,PE2,4088.0,3863.0,11
WEEKENDS/HOLIDAY,PE3,4570.0,4570.0,11
WEEKENDS/HOLIDAY,PE4,1279.0,1282.0,11
WEEKENDS/HOLIDAY,PE5,3963.0,3684.0,11
WEEKENDS/HOLIDAY,PE6,5093.0,4811.0,11
WEEKENDS/HOLIDAY,PE7,3147.0,2902.0,11
WEEKENDS/HOLIDAY,PW1,983.0,937.0,11
WEEKENDS/HOLIDAY,PW3,615.0,604.0,11
WEEKENDS/HOLIDAY,PW4,449.0,411.0,11
WEEKENDS/HOLIDAY,PW5,2366.0,2753.0,11
WEEKENDS/HOLIDAY,PW6,902.0,771.0,11
WEEKENDS/HOLIDAY,PW7,1594.0,1692.0,11
WEEKENDS/HOLIDAY,SE1,3363.0,3286.0,11
WEEKENDS/HOLIDAY,SE2,4366.0,4109.0,11
WEEKENDS/HOLIDAY,SE3,2410.0,2263.0,11
WEEKENDS/HOLIDAY,SE4,3119.0,2941.0,11
WEEKENDS/HOLIDAY,SE5,2077.0,1999.0,11
WEEKENDS/HOLIDAY,SW1,1373.0,1356.0,11
WEEKENDS/HOLIDAY,SW2,3473.0,3231.0,11
WEEKENDS/HOLIDAY,SW3,1700.0,1606.0,11
WEEKENDS/HOLIDAY,SW4,815.0,797.0,11
WEEKENDS/HOLIDAY,SW5,6353.0,6071.0,11
WEEKENDS/HOLIDAY,SW6,2481.0,2292.0,11
WEEKENDS/HOLIDAY,SW7,2209.0,2033.0,11
WEEKENDS/HOLIDAY,SW8,1560.0,1492.0,11
