ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
BP3,NE1,9
BP3,NE10,0
BP3,NE11,0
BP3,NE12,2
BP3,NE13,0
BP3,NE14,0
BP3,NE15,0
BP3,NE16-STC,0
BP3,NE17-PTC,1
BP3,NE4,4
BP3,NE5,0
BP3,NE7,1
BP3,NE8,1
BP3,NE9,0
BP3,NS10,48
BP3,NS11,52
BP3,NS13,71
BP3,NS14,23
BP3,NS15,54
BP3,NS16,44
BP3,NS17,12
BP3,NS18,4
BP3,NS19,11
BP3,NS2,87
BP3,NS20,6
BP3,NS21,0
BP3,NS22,4
BP3,NS23,2
BP3,NS27,0
BP3,NS28,0
BP3,NS3,45
BP3,NS4,554
BP3,NS5,150
BP3,NS7,51
BP3,NS8,48
BP3,NS9,144
BP3,PE1,0
BP3,PE3,0
BP3,PE6,0
BP3,PE7,0
BP3,PW5,0
BP3,PW6,0
BP3,SE2,0
BP3,SW5,1
BP3,SW6,0
BP4,BP10,68
BP4,BP11,80
BP4,BP12,62
BP4,BP13,41
BP4,BP14,0
BP4,BP2,83
BP4,BP3,38
BP4,BP5,40
BP4,BP6,1182
BP4,BP7,54
BP4,BP8,77
BP4,BP9,58
BP4,CC1-NE6-NS24,2
BP4,CC10,1
BP4,CC11,1
BP4,CC12,0
BP4,CC14,0
BP4,CC16,0
BP4,CC17,0
BP4,CC19,0
BP4,CC2,0
BP4,CC20,0
BP4,CC21,2
BP4,CC23,3
BP4,CC24,5
BP4,CC25,0
BP4,CC26,1
BP4,CC27,0
BP4,CC28,2
BP4,CC3,0
BP4,CC4-DT15,0
BP4,CC5,0
BP4,CC6,0
BP4,CC7,0
BP4,CC8,0
BP4,CE1,0
BP4,CG1,0
BP4,CG2,1
BP4,DT1,0
BP4,DT10,0
BP4,DT11,1
BP4,DT13,0
BP4,DT17,0
BP4,DT18,0
BP4,DT2,0
BP4,DT20,0
BP4,DT21,0
BP4,DT22,0
BP4,DT24,0
BP4,DT25,0
BP4,DT27,0
BP4,DT28,0
BP4,DT29,0
BP4,DT3,0
BP4,DT30,0
BP4,DT32,0
BP4,DT33,0
BP4,DT5,0
BP4,DT6,0
BP4,DT7,0
BP4,EW1,1
BP4,EW10,0
BP4,EW11,1
BP4,EW12,3
BP4,EW13-NS25,3
BP4,EW14-NS26,2
BP4,EW15,11
BP4,EW16,7
BP4,EW17,37
BP4,EW18,32
BP4,EW19,16
BP4,EW2,2
BP4,EW20,34
BP4,EW21,19
BP4,EW22,24
BP4,EW23,80
BP4,EW24-NS1,223
BP4,EW25,2
BP4,EW26,24
BP4,EW27,65
BP4,EW28,25
BP4,EW29,13
BP4,EW3,1
BP4,EW30,2
BP4,EW31,2
BP4,EW32,3
BP4,EW33,1
BP4,EW4,1
BP4,EW5,2
BP4,EW6,1
BP4,EW7,1
BP4,EW8,1
BP4,EW9,2
BP4,NE1,5
BP4,NE10,0
BP4,NE12,4
BP4,NE13,0
BP4,NE14,1
BP4,NE15,1
BP4,NE16-STC,1
BP4,NE17-PTC,0
BP4,NE4,1
BP4,NE5,0
