,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,DT21,DT22,132.0,79.0,484.0,1346.0,1499.0,697.0,531.0,672.0,987.0,1101.0,1118.0,1301.0,1558.0,3177.0,4953.0,3006.0,2198.0,2243.0,1854.0,802.0
WEEKDAY,DT22,DT21,1.0,365.0,1775.0,4565.0,5732.0,2698.0,1563.0,1388.0,1254.0,1213.0,990.0,929.0,997.0,1783.0,2564.0,1151.0,558.0,442.0,301.0,113.0
WEEKDAY,DT22,DT23,112.0,83.0,614.0,1602.0,1786.0,811.0,590.0,694.0,1009.0,1180.0,1178.0,1329.0,1593.0,3251.0,5047.0,3154.0,2360.0,2429.0,1986.0,870.0
WEEKDAY,DT23,DT22,,376.0,1803.0,4707.0,5871.0,2814.0,1676.0,1486.0,1391.0,1263.0,1046.0,1000.0,1111.0,2084.0,3043.0,1478.0,732.0,516.0,362.0,125.0
WEEKDAY,DT23,DT24,99.0,82.0,627.0,1635.0,1687.0,755.0,585.0,719.0,1014.0,1160.0,1167.0,1346.0,1632.0,3489.0,5521.0,3378.0,2434.0,2463.0,2023.0,881.0
WEEKDAY,DT24,DT23,,402.0,1892.0,5063.0,6474.0,3092.0,1725.0,1456.0,1364.0,1268.0,1054.0,984.0,1101.0,2020.0,2902.0,1431.0,721.0,518.0,363.0,128.0
WEEKDAY,DT24,DT25,79.0,112.0,772.0,1883.0,1997.0,898.0,664.0,764.0,1054.0,1191.0,1184.0,1346.0,1629.0,3540.0,5516.0,3345.0,2374.0,2367.0,1916.0,798.0
WEEKDAY,DT25,CC10,76.0,122.0,810.0,1977.0,2086.0,958.0,697.0,797.0,1087.0,1239.0,1200.0,1364.0,1653.0,3642.0,5679.0,3357.0,2320.0,2328.0,1879.0,772.0
WEEKDAY,DT25,DT24,3.0,404.0,1850.0,5106.0,6302.0,2956.0,1673.0,1416.0,1340.0,1252.0,1059.0,1006.0,1141.0,2133.0,3077.0,1528.0,818.0,613.0,466.0,169.0
WEEKDAY,DT27,CC10,3.0,580.0,2566.0,7455.0,9288.0,4201.0,2453.0,2095.0,2084.0,1971.0,1718.0,1742.0,1979.0,3841.0,5390.0,2743.0,1662.0,1337.0,1100.0,370.0
WEEKDAY,DT27,DT28,275.0,191.0,1156.0,2568.0,2232.0,942.0,715.0,793.0,1191.0,1396.0,1402.0,1679.0,2145.0,4980.0,7784.0,4370.0,3119.0,3204.0,2591.0,1180.0
WEEKDAY,DT28,DT27,4.0,578.0,2473.0,7302.0,9252.0,4081.0,2324.0,1971.0,1947.0,1820.0,1585.0,1632.0,1813.0,3425.0,4538.0,2389.0,1499.0,1251.0,1045.0,356.0
WEEKDAY,DT28,DT29,228.0,134.0,992.0,1945.0,1657.0,835.0,676.0,750.0,1125.0,1278.0,1280.0,1575.0,1966.0,4679.0,7383.0,3948.0,2755.0,2739.0,2214.0,1025.0
WEEKDAY,DT29,DT28,7.0,546.0,2211.0,6565.0,8650.0,3721.0,2052.0,1739.0,1717.0,1641.0,1442.0,1446.0,1642.0,2789.0,3587.0,2041.0,1378.0,1226.0,1068.0,330.0
