,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
BP10,EW19,WEEKENDS/HOLIDAY,,,0.1,,0.6,0.1,0.2,0.1,0.1,0.1,,,0.1,0.1,,0.2,0.6,,,
BP10,EW2/DT32,WEEKDAY,,,,0.1,,,,,,,,,,,,,,,,
BP10,EW2/DT32,WEEKENDS/HOLIDAY,,,,,,,0.1,,,0.1,,0.1,,,,,,,,
BP10,EW20,WEEKDAY,,0.2,1.3,2.8,0.8,0.2,0.1,,0.2,0.1,0.1,0.2,0.7,2.0,1.5,0.1,0.1,,,
BP10,EW20,WEEKENDS/HOLIDAY,,0.1,0.1,0.1,,0.2,0.2,,0.5,0.2,0.2,0.1,0.9,2.6,1.9,0.2,0.1,0.1,,
BP10,EW22,WEEKDAY,,,,1.6,1.0,0.9,0.5,0.3,0.3,0.5,0.3,0.2,1.1,0.3,0.3,0.1,,,,
BP10,EW22,WEEKENDS/HOLIDAY,,0.1,0.2,0.2,,0.1,0.2,0.4,,0.1,0.1,,0.5,0.4,0.1,0.5,,,,
BP10,EW23,WEEKDAY,,0.2,9.0,6.8,2.8,1.2,1.1,0.4,1.4,1.7,0.5,0.6,0.7,1.1,0.9,0.2,0.1,0.4,0.3,
BP10,EW23,WEEKENDS/HOLIDAY,,0.1,2.1,2.2,2.5,1.4,0.9,2.5,2.2,1.8,0.9,0.2,2.4,1.5,1.6,1.4,0.2,0.2,0.5,
BP10,EW24/NS1,WEEKDAY,,11.5,31.9,33.6,20.3,12.5,9.8,9.7,8.5,8.8,7.5,5.3,4.0,8.7,7.9,3.2,0.8,0.5,0.5,
